time;open;high;low;close;volatilityIndex;LogB;LogS
0;1000.00;1079.79;894.37;999.78;14.40;15;13
1;999.78;1094.20;859.61;1008.84;14.11;11;7
2;1008.84;1124.23;915.50;915.64;14.39;11;16
3;915.64;1058.82;803.57;951.09;14.97;11;16
4;951.09;1083.08;808.28;971.18;15.42;7;10
5;971.18;1050.63;862.12;862.12;14.96;3;9
6;862.12;915.18;660.81;908.33;15.55;5;9
7;908.33;988.77;757.12;957.59;16.18;10;9
8;957.59;1070.56;849.82;915.93;16.18;5;12
9;915.93;1041.40;828.89;928.94;16.18;13;8
10;928.94;1093.09;807.62;959.10;16.66;16;2
11;959.10;1106.10;836.03;958.43;16.16;10;11
12;958.43;1198.06;891.81;900.11;15.84;8;9
13;900.11;992.51;797.76;797.76;16.47;4;15
14;797.76;908.94;692.91;872.88;16.47;19;5
15;872.88;884.60;578.69;884.60;16.31;9;18
16;884.60;998.13;762.36;856.56;15.66;13;16
17;856.56;939.03;792.72;901.43;15.97;12;10
18;901.43;1226.27;873.78;1000.30;15.81;24;6
19;1000.30;1117.62;918.41;981.92;15.97;9;11
20;981.92;1057.99;839.48;992.10;15.49;9;7
21;992.10;1044.04;908.76;977.87;15.18;8;11
22;977.87;1058.48;810.20;952.01;14.87;9;10
23;952.01;1039.27;767.37;981.17;14.87;8;17
24;981.17;1053.61;797.08;1053.61;15.17;5;9
25;1053.61;1177.67;1013.40;1022.11;15.17;18;3
26;1022.11;1042.10;884.16;1028.93;15.17;8;20
27;1028.93;1096.03;892.22;1066.13;14.87;11;11
28;1066.13;1133.18;978.09;1011.34;15.31;6;10
29;1011.34;1185.67;980.93;1132.55;15.62;17;1
30;1132.55;1283.70;1076.31;1283.70;16.25;7;1
31;1283.70;1411.91;1155.46;1226.58;15.76;5;9
32;1226.58;1284.24;1030.68;1235.48;16.07;7;12
33;1235.48;1311.84;1115.17;1311.84;16.07;18;10
34;1311.84;1512.80;1256.11;1256.11;15.91;7;11
35;1256.11;1452.57;1168.99;1225.91;16.39;9;10
36;1225.91;1354.16;1156.22;1259.31;17.05;18;2
37;1259.31;1328.20;1158.37;1263.94;17.39;23;12
38;1263.94;1288.84;1130.33;1275.24;17.04;4;14
39;1275.24;1280.78;1139.69;1280.78;17.04;4;10
40;1280.78;1390.79;1098.97;1273.18;17.04;13;7
41;1273.18;1302.09;1087.89;1290.23;16.87;8;16
42;1290.23;1455.72;1212.51;1290.45;17.04;10;12
43;1290.45;1629.76;1213.49;1280.00;17.38;17;5
44;1280.00;1463.84;1235.54;1293.78;17.20;15;2
45;1293.78;1299.33;995.42;1204.37;16.52;7;18
46;1204.37;1348.03;1042.23;1235.57;17.01;8;7
47;1235.57;1386.30;1235.57;1262.61;17.18;18;5
48;1262.61;1318.78;1098.68;1291.68;17.53;6;11
49;1291.68;1487.20;1159.17;1264.13;17.70;6;13
50;1264.13;1392.03;1193.56;1234.63;17.52;19;6
51;1234.63;1356.50;942.15;1140.41;18.22;8;11
52;1140.41;1406.07;1075.46;1131.28;17.50;13;10
53;1131.28;1296.60;1131.28;1140.22;17.67;24;8
54;1140.22;1160.75;1052.56;1135.56;17.32;11;18
55;1135.56;1197.53;981.85;1144.99;16.62;14;10
56;1144.99;1445.06;1084.25;1287.29;15.96;17;1
57;1287.29;1399.06;1161.31;1323.74;16.28;11;17
58;1323.74;1404.17;1241.07;1361.36;16.93;18;8
59;1361.36;1445.87;1272.86;1384.82;17.44;9;9
60;1384.82;1551.18;1279.63;1493.93;16.74;12;2
61;1493.93;1630.74;1470.59;1553.54;17.41;17;7
62;1553.54;1693.20;1375.53;1591.66;17.24;14;8
63;1591.66;1690.40;1484.15;1568.08;17.06;11;5
64;1568.08;1637.90;1320.83;1572.13;17.06;5;7
65;1572.13;1693.54;1469.51;1583.55;17.06;8;15
66;1583.55;1602.89;1480.79;1564.37;17.75;12;18
67;1564.37;1677.19;1493.87;1543.17;17.75;12;9
68;1543.17;1635.07;1445.05;1611.98;17.39;20;9
69;1611.98;1770.58;1510.13;1679.90;17.57;7;8
70;1679.90;1829.72;1579.16;1655.37;17.92;10;10
71;1655.37;1802.16;1543.45;1606.00;17.56;8;15
72;1606.00;1770.92;1563.70;1625.53;17.21;9;7
73;1625.53;1697.95;1373.61;1626.89;17.21;14;10
74;1626.89;1703.29;1573.49;1618.27;16.52;7;9
75;1618.27;1732.96;1486.10;1678.91;16.52;7;3
76;1678.91;1839.60;1605.55;1714.80;16.52;13;7
77;1714.80;1820.02;1663.58;1663.58;16.68;11;7
78;1663.58;1731.70;1530.32;1682.68;16.68;14;14
79;1682.68;1766.89;1546.35;1706.98;16.35;7;16
80;1706.98;1768.32;1595.76;1690.55;16.84;10;14
81;1690.55;1785.11;1473.69;1785.11;16.84;17;8
82;1785.11;1948.77;1694.52;1841.55;16.67;10;5
83;1841.55;1932.17;1693.39;1787.05;17.34;4;16
84;1787.05;1921.79;1739.67;1833.51;16.65;22;4
85;1833.51;1965.47;1786.29;1800.93;16.81;18;7
86;1800.93;1837.23;1709.65;1834.85;16.81;16;14
87;1834.85;1966.10;1701.97;1757.58;16.48;5;18
88;1757.58;1885.86;1589.81;1838.42;16.31;1;13
89;1838.42;1953.47;1749.83;1769.87;16.31;8;10
90;1769.87;1875.59;1717.41;1804.84;16.47;17;13
91;1804.84;2021.75;1747.92;1838.80;16.31;14;3
