time;open;high;low;close;volatilityIndex;LogS;LogB
1;1000;1130.2875066974577;897.8121090979319;1038.903130287364;14.4;7;20
2;1038.903130287364;1108.9281742758633;912.3312146598889;977.0671289768296;13.824;8;7
3;977.0671289768296;1043.8969372940417;946.5856973171802;960.3487787324373;13.824;14;14
4;960.3487787324373;1048.1872850113461;770.639743073462;961.0173364311252;14.37696;10;9
5;961.0173364311252;1040.6629015910733;878.1927893099742;926.4991860450972;14.8082688;20;10
6;926.4991860450972;1028.2818385617072;802.1292355417806;1028.2818385617072;15.104434176;3;10
7;1028.2818385617072;1084.5199477717276;890.7618898453366;1012.366991782031;15.70861154304;17;1
8;1012.366991782031;1092.9400321370717;868.3796248451712;966.6167347036007;16.1798698893312;24;9
9;966.6167347036007;1130.0713064306678;804.9093874805554;1116.4922661831986;16.01807119043789;1;9
10;1116.4922661831986;1232.1634882547116;1076.1629796722677;1153.4500820350268;15.377348342820374;8;19
11;1153.4500820350268;1262.909459189425;943.3598314170721;1110.5363876162778;15.377348342820374;10;17
12;1110.5363876162778;1213.3804700060737;946.6738936139111;1072.9951093894908;15.377348342820374;7;2
13;1072.9951093894908;1249.061350407041;987.4453430340657;1107.851542921517;15.531121826248578;14;4
14;1107.851542921517;1115.353846181253;1041.2606231308512;1054.6270045123265;15.531121826248578;20;10
15;1054.6270045123265;1144.0773735777693;1000.5923114487521;1138.7154214176753;15.375810607986091;15;24
16;1138.7154214176753;1176.7329636400784;913.106360515569;1128.6272357762668;15.375810607986091;15;7
17;1128.6272357762668;1251.8029056578398;1045.5580371764615;1114.0183387411141;15.837084926225675;8;15
18;1114.0183387411141;1297.390931972588;898.2588412414929;1152.732673584682;15.837084926225675;15;19
19;1152.732673584682;1366.4601216615433;1132.916280644197;1132.916280644197;16.312197474012446;9;11
20;1132.916280644197;1193.1864105515265;1061.8518240081953;1130.5377651055462;16.312197474012446;13;16
21;1130.5377651055462;1193.8833286496588;1021.7082831836262;1094.968105986607;16.638441423492694;16;6
22;1094.968105986607;1157.270499740463;855.0423477846412;1082.4576136242601;15.972903766552985;12;4
23;1082.4576136242601;1148.8722588816026;1003.9386991443448;1148.8722588816026;15.333987615890866;11;15
24;1148.8722588816026;1304.8318078225084;928.9069214079839;1224.7377444826873;15.947347120526501;5;28
25;1224.7377444826873;1335.6673220542452;1104.4895318642402;1298.449304850214;15.947347120526501;7;14
26;1298.449304850214;1364.3066447409665;1201.1526982096213;1312.4705307931679;15.947347120526501;10;11
27;1312.4705307931679;1461.160833007194;1272.0448447160677;1445.8672367091278;16.106820591731765;0;33
28;1445.8672367091278;1516.4763068850575;1288.2945636903141;1345.9628857255177;61;25;6
29;1345.9628857255177;1360.9578134022224;1153.6363049341155;1289.9352449543028;61;32;8
30;1289.9352449543028;1341.3362725817171;1039.4041109136963;1238.6285193336678;61;30;2
31;1238.6285193336678;1311.1872969564058;1098.6664056983127;1151.3261075519765;61;30;6
32;1151.3261075519765;1183.1776808493532;953.1557588254468;1183.1776808493532;61;15;1
33;1183.1776808493532;1204.3985437364354;1060.0492298822933;1138.6105157490163;60.39;30;2
34;1138.6105157490163;1138.6105157490163;928.4809811281925;1123.767052628116;60.39;20;2
35;1123.767052628116;1180.360281310417;934.7090951469098;1069.135431260627;60.39;33;2
36;1069.135431260627;1176.6642404979211;859.5615455606518;989.0630440900859;59.7861;37;1
37;989.0630440900859;1163.0390550632737;899.8842839535729;969.8113369097721;59.7861;20;6
38;969.8113369097721;974.9032322988027;760.8097442125179;924.3538885247935;59.7861;27;1
39;924.3538885247935;962.906331616851;845.9075384269423;859.1283206428658;59.188238999999996;26;7
40;859.1283206428658;937.580362622483;595.1438258551868;756.2110355854873;59.78012139;27;1
41;756.2110355854873;814.7790933756459;610.3543278885367;683.1976547278136;59.78012139;16;2
42;683.1976547278136;683.1976547278136;459.0946125571202;629.4969190144893;59.1823201761;38;0
43;629.4969190144893;676.470119893578;348.98794040938304;549.4933943933046;59.1823201761;27;0
44;549.4933943933046;602.0364701768274;471.30183070598025;532.0644551051649;59.1823201761;14;11
45;532.0644551051649;555.5304225486369;338.42910795657957;376.3200873383099;59.1823201761;30;2
46;376.3200873383099;641.2328327564823;334.5835970394132;448.1825006418904;59.1823201761;2;37
47;448.1825006418904;637.0318076481067;448.1825006418904;466.90845807512585;59.1823201761;0;31
48;466.90845807512585;719.230724212998;466.90845807512585;617.0091313285375;59.1823201761;0;54
49;617.0091313285375;618.3379969661655;393.14205242440124;618.3379969661655;59.774143377861;28;4
50;618.3379969661655;714.832322689911;470.23088504998873;643.4810692503904;59.17640194408239;17;6
51;643.4810692503904;695.5840630622954;505.149694279337;641.8278006188649;58.58463792464157;19;6
52;641.8278006188649;684.6283860444374;558.4666169837834;662.0121600310529;58.58463792464157;20;7
53;662.0121600310529;685.8477943219666;485.804379170274;485.804379170274;58.58463792464157;29;1
54;485.804379170274;693.2234790817228;485.804379170274;619.7161143319416;58.58463792464157;0;60
55;619.7161143319416;681.9360857226444;400.3341699551412;565.2294032239181;58.58463792464157;23;0
56;565.2294032239181;565.2294032239181;369.74731904830725;511.89761822411936;59.17048430388799;38;5
57;511.89761822411936;516.6516999323434;340.33493858613707;468.1397687242198;59.17048430388799;32;9
