time;open;high;low;close;volatilityIndex;LogB;LogS
0;1000.00;1102.00;871.38;1050.74;14.70;5;12
1;1050.74;1172.94;984.22;989.14;14.70;9;7
2;989.14;1092.09;923.91;923.91;14.85;12;13
3;923.91;927.58;771.67;825.52;14.55;5;22
4;825.52;884.90;739.96;884.90;14.11;11;9
5;884.90;1026.27;805.82;924.89;14.68;5;5
6;924.89;1025.85;866.15;959.07;14.09;16;9
7;959.07;1165.53;858.22;994.56;14.37;6;10
8;994.56;1036.62;857.03;1000.97;14.23;15;12
9;1000.97;1215.40;937.55;1059.03;14.80;19;5
10;1059.03;1259.53;934.54;985.53;14.21;3;12
11;985.53;1039.84;857.39;935.14;14.35;9;14
12;935.14;1179.73;809.06;988.94;14.06;11;12
13;988.94;1099.87;867.70;963.60;14.06;6;11
14;963.60;1058.48;838.24;1058.48;14.06;5;7
15;1058.48;1135.30;971.41;976.01;14.06;10;10
16;976.01;1222.55;918.22;959.66;13.50;14;8
17;959.66;1165.83;907.95;995.87;14.04;10;13
18;995.87;1061.89;930.10;971.89;13.48;16;12
19;971.89;1053.82;812.35;1034.67;14.02;6;11
20;1034.67;1166.57;906.27;939.35;14.02;4;5
21;939.35;1086.40;834.45;865.29;13.74;13;15
22;865.29;959.52;779.53;910.24;13.19;16;9
23;910.24;979.12;780.00;882.70;12.66;8;12
24;882.70;947.19;701.63;788.51;67.00;1;46
25;788.51;889.42;538.57;722.50;67.00;0;46
26;722.50;783.34;487.35;496.77;67.00;0;60
27;496.77;639.25;462.69;634.15;66.33;50;0
28;634.15;641.23;446.96;484.88;66.33;3;51
29;484.88;715.32;484.88;609.68;66.99;57;0
30;609.68;683.78;457.41;568.07;66.32;2;39
31;568.07;593.92;304.00;391.77;66.32;0;50
32;391.77;627.40;391.77;456.97;66.32;56;1
33;456.97;637.33;453.73;538.02;65.66;50;3
34;538.02;596.02;321.69;321.69;65.66;1;60
35;321.69;512.72;321.69;395.91;65.00;50;1
36;395.91;599.61;395.91;597.62;65.65;56;1
37;597.62;597.62;398.20;521.89;65.65;3;43
38;521.89;724.63;376.40;451.57;65.00;2;49
39;451.57;669.11;451.57;565.00;65.00;62;1
40;565.00;641.14;394.95;494.17;65.00;1;51
41;494.17;704.23;494.17;610.65;65.00;58;2
42;610.65;651.83;485.95;500.24;65.00;1;53
43;500.24;560.90;336.90;406.68;64.35;2;50
44;406.68;638.30;406.68;471.34;64.99;51;3
45;471.34;653.99;471.34;539.98;64.99;62;2
46;539.98;701.84;341.87;441.47;64.99;1;61
47;441.47;646.98;441.47;548.45;64.99;62;0
48;548.45;580.01;315.08;353.86;65.64;3;52
49;353.86;655.14;353.86;439.64;64.98;50;0
50;439.64;618.96;439.64;514.01;64.98;57;0
51;514.01;514.01;246.50;370.30;64.33;0;57
52;370.30;647.16;287.85;455.42;64.33;62;0
53;455.42;659.29;433.89;575.12;64.33;52;0
54;575.12;757.61;534.85;692.79;16.83;23;3
55;692.79;802.94;536.82;716.01;16.83;11;3
56;716.01;782.92;502.44;743.04;16.83;18;21
57;743.04;851.60;610.45;751.05;16.83;13;15
58;751.05;924.84;717.23;717.23;17.50;20;7
59;717.23;824.25;633.43;751.62;17.15;14;11
60;751.62;858.41;688.41;768.85;17.84;13;9
61;768.85;893.85;717.85;723.31;17.48;14;13
62;723.31;778.71;613.25;749.53;18.18;16;14
63;749.53;848.41;582.50;732.19;17.45;9;12
64;732.19;908.01;712.95;749.49;17.63;21;8
65;749.49;847.55;665.73;757.94;17.98;7;16
66;757.94;965.30;695.34;763.86;17.80;24;5
67;763.86;863.99;716.36;788.69;17.09;24;7
68;788.69;835.50;691.70;835.50;17.09;4;13
69;835.50;895.90;677.74;851.42;17.26;8;14
70;851.42;937.73;763.49;864.14;17.78;20;8
71;864.14;1139.09;791.89;939.61;17.07;12;11
72;939.61;1017.54;711.11;928.40;17.24;11;18
73;928.40;1016.58;785.44;924.89;17.24;5;9
74;924.89;1156.87;809.84;946.71;16.89;4;19
75;946.71;1043.95;908.68;1009.10;17.23;14;7
76;1009.10;1056.80;881.95;881.95;17.23;6;12
77;881.95;1002.55;769.16;1002.55;17.75;19;7
78;1002.55;1043.60;893.34;971.16;18.46;9;15
79;971.16;1021.66;916.92;938.23;17.72;15;19
80;938.23;999.87;871.24;969.41;17.37;16;11
81;969.41;1041.73;881.11;971.30;17.37;21;21
82;971.30;1153.27;958.75;1020.00;16.67;23;9
83;1020.00;1078.96;897.11;996.34;16.34;17;14
84;996.34;1127.45;836.15;1061.44;16.34;18;12
85;1061.44;1235.06;1038.40;1118.24;16.01;13;5
86;1118.24;1242.97;1001.59;1151.60;16.65;16;8
87;1151.60;1229.15;1029.96;1144.16;16.48;14;10
88;1144.16;1239.59;1014.07;1148.70;16.65;15;4
89;1148.70;1243.04;1004.71;1125.98;16.48;7;13
90;1125.98;1150.06;990.03;1137.36;16.65;11;24
91;1137.36;1256.25;997.40;1175.84;17.15;14;2
92;1175.84;1263.41;1020.66;1052.26;17.15;3;16
93;1052.26;1154.89;990.02;1069.88;16.98;15;9
94;1069.88;1104.47;989.55;1080.36;16.47;7;8
95;1080.36;1108.47;904.59;1090.01;17.12;3;27
96;1090.01;1171.21;979.37;1097.50;17.12;8;11
97;1097.50;1176.02;1006.48;1070.43;17.81;11;6
98;1070.43;1255.45;954.35;1026.04;18.17;6;14
99;1026.04;1139.09;901.04;1019.18;18.35;5;20
100;1019.18;1265.22;938.44;1051.00;18.90;6;12
101;1051.00;1112.08;905.57;1008.83;18.71;9;10
102;1008.83;1137.78;897.56;1064.30;18.90;12;6
103;1064.30;1145.41;946.12;1060.46;19.09;7;6
104;1060.46;1108.01;938.55;1078.91;18.70;9;17
105;1078.91;1137.34;987.13;1130.49;18.14;17;12
106;1130.49;1252.12;1085.46;1143.67;17.42;11;12
107;1143.67;1301.20;1061.44;1142.99;17.24;16;8
108;1142.99;1221.53;1066.32;1221.53;16.55;15;10
109;1221.53;1347.72;1154.75;1265.22;17.05;15;7
110;1265.22;1541.95;1225.38;1225.38;17.05;13;4
111;1225.38;1427.82;1134.61;1210.83;16.88;14;4
112;1210.83;1254.94;1088.58;1221.87;16.37;7;20
113;1221.87;1312.11;1093.19;1185.25;16.37;13;7
114;1185.25;1329.30;1099.78;1204.18;16.70;16;11
115;1204.18;1295.91;1126.49;1251.61;17.37;19;9
116;1251.61;1348.82;1159.26;1315.65;17.54;11;9
117;1315.65;1373.85;1125.23;1220.48;17.54;9;12
118;1220.48;1413.25;1064.63;1208.28;16.84;11;10
119;1208.28;1445.01;1157.88;1157.88;16.33;15;11
120;1157.88;1321.89;1069.42;1221.15;16.01;9;4
121;1221.15;1293.33;1121.22;1232.77;15.69;23;9
122;1232.77;1323.94;1175.95;1265.83;15.22;12;12
123;1265.83;1408.12;1151.14;1274.25;14.61;8;17
124;1274.25;1318.69;1150.59;1194.97;14.02;4;9
125;1194.97;1307.50;1116.60;1116.60;13.74;11;14
126;1116.60;1291.49;998.42;1166.37;13.88;7;12
127;1166.37;1256.78;1106.32;1236.29;14.44;10;10
128;1236.29;1314.14;1165.82;1175.86;14.29;9;18
129;1175.86;1339.35;1072.13;1186.49;14.44;9;14
130;1186.49;1281.03;1056.82;1148.39;14.72;10;11
131;1148.39;1229.63;994.40;1228.28;15.31;16;7
132;1228.28;1294.43;1076.66;1294.43;15.47;5;9
133;1294.43;1429.75;1294.43;1317.51;15.00;14;4
134;1317.51;1442.16;1269.02;1322.05;14.85;17;14
135;1322.05;1471.06;1289.56;1320.76;14.26;13;14
136;1320.76;1693.19;1199.35;1296.65;14.12;10;7
137;1296.65;1349.98;1063.23;1349.98;13.69;11;15
138;1349.98;1419.53;1269.49;1269.49;13.55;5;23
139;1269.49;1336.23;1161.49;1317.20;14.10;10;14
140;1317.20;1488.82;1278.33;1278.33;14.10;16;13
141;1278.33;1431.05;1166.88;1410.23;14.66;20;3
142;1410.23;1480.29;1329.22;1463.90;14.51;12;9
143;1463.90;1548.09;1432.71;1499.04;14.66;23;10
144;1499.04;1511.69;1314.04;1486.05;15.25;12;17
145;1486.05;1697.75;1450.25;1450.25;15.25;8;10
146;1450.25;1623.16;1333.04;1469.82;14.64;10;9
147;1469.82;1581.86;1371.46;1521.32;15.08;18;11
148;1521.32;1671.39;1311.74;1482.30;14.62;15;9
149;1482.30;1659.37;1482.30;1494.90;14.33;20;5
150;1494.90;1623.92;1445.13;1521.64;14.19;11;12
151;1521.64;1631.07;1434.42;1552.05;14.05;14;8
152;1552.05;1582.83;1412.68;1559.81;14.47;15;14
153;1559.81;1753.32;1538.20;1572.23;14.18;21;10
154;1572.23;1666.80;1465.30;1606.47;14.32;12;8
155;1606.47;1670.42;1497.08;1624.83;14.75;19;10
156;1624.83;1679.19;1423.89;1620.24;15.34;8;12
157;1620.24;1720.10;1590.72;1647.74;15.34;13;6
158;1647.74;1754.96;1490.52;1673.62;15.19;13;10
159;1673.62;1738.67;1574.80;1738.67;15.19;8;4
160;1738.67;1902.77;1684.31;1745.00;14.73;13;10
161;1745.00;1851.19;1715.62;1720.35;14.73;15;11
162;1720.35;1847.08;1676.05;1703.45;15.02;20;14
163;1703.45;1807.62;1655.46;1736.44;14.72;7;8
164;1736.44;1872.90;1613.24;1829.41;14.43;14;10
165;1829.41;1902.49;1717.46;1717.46;14.86;10;18
166;1717.46;1740.37;1584.31;1708.93;14.86;5;18
167;1708.93;1798.13;1634.86;1646.52;15.31;11;19
168;1646.52;1780.34;1501.36;1604.73;15.61;10;6
169;1604.73;1712.36;1470.52;1638.89;15.61;11;12
170;1638.89;1728.98;1505.95;1640.82;14.99;15;8
171;1640.82;1847.89;1570.04;1616.20;14.69;20;5
172;1616.20;1725.20;1479.92;1589.81;15.28;14;12
173;1589.81;1792.75;1438.78;1486.91;15.89;1;15
174;1486.91;1682.64;1372.38;1492.66;15.57;6;7
175;1492.66;1745.52;1485.40;1524.72;15.57;22;5
176;1524.72;1639.57;1489.00;1580.93;15.26;24;9
177;1580.93;1624.58;1487.96;1607.43;15.11;10;13
178;1607.43;1753.79;1549.73;1610.21;15.11;9;8
179;1610.21;1791.15;1533.41;1605.31;15.11;13;0
180;1605.31;1703.97;1481.50;1623.11;15.41;11;10
181;1623.11;1713.86;1490.77;1646.99;15.25;17;11
182;1646.99;1784.06;1479.29;1717.60;15.41;8;5
183;1717.60;1828.79;1661.44;1676.84;14.95;11;9
184;1676.84;1785.29;1587.72;1587.72;15.09;5;19
185;1587.72;1652.35;1495.80;1652.35;14.94;13;10
186;1652.35;1982.51;1561.23;1634.87;15.24;16;10
187;1634.87;1687.77;1507.24;1639.91;15.70;10;7
188;1639.91;1767.75;1593.09;1673.13;15.39;19;8
189;1673.13;1783.73;1547.28;1755.00;15.85;7;4
190;1755.00;1907.11;1595.38;1714.60;15.69;12;6
191;1714.60;1777.40;1654.56;1777.40;15.22;15;10
192;1777.40;1830.03;1595.39;1816.66;15.07;17;15
193;1816.66;1984.36;1767.07;1799.73;14.46;16;8
194;1799.73;1900.27;1661.12;1781.82;14.61;11;9
195;1781.82;1906.69;1682.83;1847.56;14.46;18;7
196;1847.56;1917.83;1664.59;1854.92;13.88;12;6
197;1854.92;1887.31;1761.43;1865.20;13.61;9;15
