time;open;high;low;close;volatilityIndex;LogB;LogS
198;1865.20;1993.43;1792.00;1896.91;13.74;16;2
199;1896.91;1981.21;1820.20;1820.20;13.47;8;15
200;1820.20;1906.59;1766.20;1820.09;13.33;8;6
201;1820.09;1967.19;1765.76;1847.85;13.33;21;10
202;1847.85;2004.40;1775.97;1870.12;13.33;21;9
203;1870.12;1951.88;1716.79;1892.62;13.47;9;7
204;1892.62;2058.08;1789.38;1789.38;13.06;6;15
205;1789.38;1903.89;1653.27;1653.58;13.58;3;19
206;1653.58;1733.36;1541.08;1656.96;14.13;9;11
207;1656.96;1872.52;1609.07;1610.91;13.99;11;14
208;1610.91;1673.23;1470.32;1673.23;14.27;21;10
209;1673.23;1838.79;1607.51;1704.43;13.84;19;8
210;1704.43;1900.88;1590.21;1779.96;14.25;1;12
211;1779.96;1885.96;1560.09;1759.36;14.25;15;9
212;1759.36;1861.04;1682.14;1748.62;14.11;9;7
213;1748.62;1911.43;1678.98;1753.37;13.83;12;10
214;1753.37;1871.97;1702.93;1768.40;13.83;5;15
215;1768.40;1812.10;1633.09;1791.74;13.28;11;10
216;1791.74;1792.56;1564.28;1688.27;12.88;3;28
217;1688.27;1806.24;1623.46;1785.94;12.36;16;7
218;1785.94;1839.14;1666.06;1712.51;11.99;13;18
219;1712.51;1774.00;1646.97;1668.57;12.23;14;20
220;1668.57;1706.73;1551.46;1558.32;12.60;6;19
221;1558.32;1755.68;1558.32;1601.31;12.47;22;1
222;1601.31;1672.80;1434.55;1603.52;11.97;11;12
223;1603.52;1717.01;1520.82;1645.75;11.73;17;8
224;1645.75;1706.22;1366.63;1706.22;12.09;19;6
225;1706.22;1775.85;1632.45;1673.11;11.84;17;9
226;1673.11;1797.75;1580.66;1650.35;11.49;15;10
227;1650.35;1707.32;1580.68;1644.92;11.83;10;8
228;1644.92;1695.64;1541.24;1695.64;11.48;9;15
229;1695.64;1858.49;1482.09;1618.08;11.25;7;8
230;1618.08;1693.71;1523.22;1693.71;11.25;13;10
231;1693.71;1868.68;1568.55;1672.23;11.25;13;14
232;1672.23;1707.97;1469.89;1602.79;10.91;9;14
233;1602.79;1658.56;1559.21;1585.29;10.91;15;11
234;1585.29;1671.02;1451.22;1561.33;10.47;11;11
235;1561.33;1668.17;1543.28;1549.07;10.27;14;6
236;1549.07;1631.06;1418.39;1566.25;10.57;10;18
237;1566.25;1654.34;1549.42;1574.06;10.15;16;10
238;1574.06;1648.80;1433.11;1560.83;10.15;11;14
239;1560.83;1675.91;1452.07;1563.93;10.15;6;9
240;1563.93;1745.41;1435.72;1523.07;10.35;6;12
241;1523.07;1619.84;1444.27;1479.92;10.56;12;10
242;1479.92;1559.16;1416.06;1418.98;10.67;15;10
243;1418.98;1555.85;1338.28;1459.20;10.99;14;10
244;1459.20;1564.74;1213.70;1563.12;10.88;11;5
245;1563.12;1691.40;1519.82;1519.82;10.98;11;5
246;1519.82;1719.27;1443.34;1498.18;10.87;11;10
247;1498.18;1569.76;1387.87;1569.76;11.09;14;7
248;1569.76;1635.74;1461.84;1538.11;11.43;9;16
249;1538.11;1717.02;1453.95;1576.03;11.43;19;15
250;1576.03;1830.70;1393.54;1561.97;11.65;10;9
251;1561.97;1658.52;1536.79;1544.34;11.89;19;13
252;1544.34;1678.52;1353.22;1495.94;12.24;10;13
253;1495.94;1542.44;1403.06;1472.35;12.12;12;15
254;1472.35;1605.20;1459.14;1605.20;11.88;24;2
255;1605.20;1841.28;1457.43;1618.41;11.52;15;7
256;1618.41;1715.67;1552.99;1597.33;11.52;21;7
257;1597.33;1687.89;1499.07;1553.96;11.18;10;12
258;1553.96;1585.42;1468.92;1486.65;10.84;16;14
259;1486.65;1569.33;1442.52;1442.52;10.95;17;16
260;1442.52;1528.29;1312.94;1450.80;11.28;4;17
261;1450.80;1465.81;1325.31;1456.02;11.28;9;22
262;1456.02;1601.33;1437.00;1442.69;11.17;18;9
263;1442.69;1613.78;1332.10;1443.56;11.17;18;2
264;1443.56;1560.97;1293.08;1516.32;11.05;11;13
265;1516.32;1742.90;1328.87;1482.05;11.27;10;6
266;1482.05;1559.40;1430.24;1469.27;11.27;4;4
267;1469.27;1596.14;1416.61;1481.51;11.27;17;7
268;1481.51;1591.12;1466.92;1527.06;11.39;18;5
269;1527.06;1695.98;1443.30;1526.16;11.39;15;8
270;1526.16;1722.15;1450.55;1507.69;11.62;15;13
271;1507.69;1609.38;1451.21;1503.44;11.15;21;6
272;1503.44;1612.79;1412.24;1452.24;11.37;10;11
273;1452.24;1593.54;1427.99;1467.31;11.26;17;5
274;1467.31;1568.52;1440.28;1454.75;11.60;16;9
275;1454.75;1524.09;1243.33;1430.41;11.60;4;18
276;1430.41;1568.62;1414.72;1414.72;11.60;20;14
277;1414.72;1498.33;1366.61;1425.66;11.37;12;13
278;1425.66;1513.71;1315.24;1384.08;11.59;11;10
279;1384.08;1510.69;1186.05;1372.99;11.48;5;13
280;1372.99;1613.10;1372.99;1379.64;11.02;21;3
281;1379.64;1567.58;1306.70;1401.95;10.69;17;7
282;1401.95;1466.01;1304.30;1373.31;10.69;10;10
283;1373.31;1420.02;1143.26;1419.96;10.79;12;15
284;1419.96;1528.45;1278.98;1511.79;10.90;16;7
285;1511.79;1631.90;1432.88;1487.78;10.90;12;13
286;1487.78;1563.86;1379.21;1476.91;10.68;13;8
287;1476.91;1561.30;1383.94;1429.26;10.79;10;11
288;1429.26;1552.02;1387.33;1450.35;10.47;18;7
289;1450.35;1549.60;1410.65;1445.88;10.47;25;16
290;1445.88;1696.57;1293.39;1545.44;10.47;22;2
291;1545.44;1628.68;1432.03;1496.70;10.15;6;15
292;1496.70;1599.41;1461.89;1503.76;9.95;23;7
293;1503.76;1604.01;1377.67;1409.65;10.25;8;19
294;1409.65;1633.49;1343.04;1447.10;10.35;16;9
295;1447.10;1509.24;1371.39;1492.27;10.66;11;12
296;1492.27;1597.02;1459.12;1459.12;10.24;16;8
297;1459.12;1602.67;1354.19;1519.63;10.24;10;8
298;1519.63;1548.31;1355.85;1526.85;10.64;7;11
299;1526.85;1551.68;1354.48;1449.61;10.64;6;10
300;1449.61;1604.95;1304.69;1456.90;10.86;5;11
301;1456.90;1586.09;1278.67;1463.61;10.53;5;22
302;1463.61;1524.04;1377.50;1420.62;10.85;9;16
303;1420.62;1509.77;1226.92;1361.30;11.17;9;10
304;1361.30;1540.42;1279.16;1352.70;10.73;6;6
305;1352.70;1504.78;1236.29;1422.71;10.94;10;7
306;1422.71;1506.74;1397.51;1481.06;10.50;14;7
307;1481.06;1584.26;1416.46;1461.97;10.50;18;10
308;1461.97;1528.68;1350.31;1350.31;10.19;2;16
309;1350.31;1427.40;1254.67;1390.59;9.88;13;14
310;1390.59;1554.47;1235.58;1351.25;10.08;3;16
311;1351.25;1453.57;1277.98;1388.00;10.18;18;5
312;1388.00;1524.86;1373.63;1373.63;10.59;21;11
313;1373.63;1474.99;1323.05;1348.13;10.80;8;6
314;1348.13;1479.94;1280.88;1397.55;10.69;9;14
315;1397.55;1444.16;1287.61;1362.32;10.59;6;15
316;1362.32;1589.04;1278.68;1347.40;11.01;10;10
317;1347.40;1421.61;1284.70;1338.11;11.34;10;12
318;1338.11;1554.59;1338.11;1453.24;11.45;27;3
319;1453.24;1685.88;1264.35;1349.48;66.00;0;55
320;1349.48;1395.42;1160.75;1217.63;66.66;1;53
321;1217.63;1217.63;1099.19;1155.25;65.99;3;46
322;1155.25;1325.63;979.63;1038.31;65.33;0;60
323;1038.31;1062.89;838.98;887.77;65.33;0;36
324;887.77;1017.48;623.80;767.38;65.99;0;49
325;767.38;767.38;504.70;654.43;65.99;0;49
326;654.43;666.35;488.95;546.91;65.99;2;53
327;546.91;617.95;423.29;491.96;65.99;3;51
328;491.96;703.73;491.96;582.16;65.33;67;0
329;582.16;601.77;316.15;468.40;65.98;2;51
330;468.40;676.97;186.12;588.49;65.32;51;0
331;588.49;610.29;390.73;471.41;64.67;2;50
332;471.41;579.97;462.79;503.78;64.02;40;3
333;503.78;503.78;349.49;409.97;63.38;2;52
334;409.97;708.92;409.97;552.46;63.38;51;2
335;552.46;607.03;336.73;448.57;64.01;1;54
336;448.57;708.66;448.57;539.89;64.65;64;1
337;539.89;539.89;378.57;463.59;64.65;0;57
338;463.59;629.64;463.59;622.56;64.65;64;2
339;622.56;662.41;453.76;538.16;64.65;0;56
340;538.16;591.88;289.92;401.97;64.65;1;45
341;401.97;646.98;401.97;586.99;64.65;53;0
342;586.99;670.63;354.45;499.32;64.01;0;48
343;499.32;746.07;327.67;670.45;64.01;70;0
344;670.45;767.15;467.51;574.67;64.01;3;45
345;574.67;574.67;410.05;434.55;64.65;0;54
346;434.55;695.79;434.55;518.66;65.29;59;1
347;518.66;565.94;347.92;408.92;65.95;3;50
348;408.92;751.63;408.92;537.38;65.95;57;0
349;537.38;596.92;386.78;455.48;15.84;4;20
350;455.48;633.21;455.48;600.19;15.68;45;1
351;600.19;678.25;441.18;642.53;15.68;8;12
352;642.53;724.20;586.54;706.75;16.15;9;14
353;706.75;824.15;591.94;727.96;16.64;12;7
354;727.96;953.25;700.55;806.91;16.80;22;5
355;806.91;855.58;625.76;835.06;16.30;11;11
356;835.06;969.52;696.89;878.79;16.95;11;14
357;878.79;1022.26;708.36;859.09;16.27;19;5
358;859.09;944.42;691.88;894.36;16.11;12;13
359;894.36;1016.26;817.49;817.49;16.11;15;7
360;817.49;895.15;742.28;864.99;15.47;12;8
361;864.99;926.62;771.05;841.28;15.77;8;10
362;841.28;930.27;704.42;779.51;15.77;12;6
363;779.51;807.40;667.75;792.04;15.14;7;17
364;792.04;883.78;685.24;810.98;14.54;7;13
365;810.98;881.98;692.03;824.09;14.68;10;11
366;824.09;932.91;765.78;823.86;14.83;15;12
367;823.86;934.65;575.77;869.24;14.24;5;9
368;869.24;907.94;738.25;842.44;14.24;7;16
369;842.44;1027.81;767.35;783.29;13.95;13;22
370;783.29;962.36;565.67;768.26;14.37;4;11
371;768.26;951.53;681.29;772.05;14.95;15;12
372;772.05;793.23;660.30;717.21;14.95;7;17
373;717.21;883.88;605.23;741.58;14.35;11;1
374;741.58;825.63;648.84;825.63;13.77;12;6
375;825.63;1110.49;780.62;855.15;13.22;9;11
376;855.15;978.59;808.42;890.35;13.22;14;11
377;890.35;1019.85;859.28;984.88;12.69;29;9
378;984.88;1175.24;911.13;978.05;12.57;18;8
379;978.05;1203.40;793.22;990.99;12.44;11;3
380;990.99;1047.50;890.48;1032.39;12.32;9;12
381;1032.39;1263.38;976.26;992.63;12.56;8;9
382;992.63;1063.10;842.89;1044.28;12.56;10;12
383;1044.28;1124.51;918.02;974.73;13.07;7;8
384;974.73;1304.52;930.53;979.03;13.07;10;9
385;979.03;1206.20;882.35;964.59;13.46;13;11
386;964.59;1053.89;840.33;1004.74;13.46;6;10
387;1004.74;1093.13;925.30;994.46;13.32;11;13
388;994.46;1121.15;933.06;1022.65;13.59;10;7
389;1022.65;1270.51;900.77;980.50;13.18;12;8
390;980.50;1157.11;785.97;939.37;13.05;5;9
391;939.37;1012.56;750.76;1001.77;13.44;14;12
392;1001.77;1073.33;816.89;999.75;13.98;14;6
393;999.75;1143.65;896.05;1103.69;13.98;20;1
394;1103.69;1165.06;923.16;1079.06;13.84;6;12
395;1079.06;1257.86;1048.28;1048.28;14.26;17;9
396;1048.28;1127.16;972.90;1036.51;14.54;14;7
397;1036.51;1295.07;1012.66;1053.05;14.54;11;8
398;1053.05;1375.38;976.17;1041.75;14.69;22;6
399;1041.75;1194.39;924.84;1028.31;14.54;17;6
400;1028.31;1079.57;901.85;1009.04;14.83;15;14
401;1009.04;1158.68;989.53;1069.05;15.13;22;4
402;1069.05;1247.26;939.05;1131.60;15.13;15;7
403;1131.60;1183.86;970.33;1160.80;15.13;17;16
404;1160.80;1207.36;1033.10;1143.72;15.28;13;12
405;1143.72;1289.15;1038.52;1098.88;14.97;3;6
406;1098.88;1194.15;997.81;1154.16;14.52;12;10
407;1154.16;1332.32;1011.73;1172.89;14.23;19;6
408;1172.89;1430.23;949.19;1146.22;14.09;11;10
409;1146.22;1207.59;1040.87;1096.80;13.67;4;22
410;1096.80;1197.13;982.63;1188.72;13.94;12;5
411;1188.72;1228.92;1102.58;1102.58;13.94;8;17
412;1102.58;1190.99;999.71;1108.69;13.66;13;9
413;1108.69;1275.06;904.89;1106.46;14.07;11;11
414;1106.46;1227.11;1061.46;1101.54;14.21;14;9
415;1101.54;1164.05;887.00;1039.15;13.79;1;16
416;1039.15;1148.29;979.73;1126.98;13.65;12;5
417;1126.98;1230.28;1006.46;1080.97;13.65;7;8
418;1080.97;1153.50;847.60;1035.34;13.78;7;18
419;1035.34;1188.37;991.96;1092.20;13.65;16;5
420;1092.20;1187.94;1019.58;1121.74;13.65;26;10
421;1121.74;1213.04;1002.19;1103.23;13.65;5;21
422;1103.23;1396.10;1086.56;1086.56;13.10;17;16
423;1086.56;1170.99;912.09;1100.05;12.97;20;6
424;1100.05;1181.41;1015.54;1141.70;12.84;10;9
425;1141.70;1206.53;1039.17;1095.16;13.35;8;12
426;1095.16;1218.19;1029.36;1188.26;13.75;14;8
427;1188.26;1273.91;980.94;1111.67;14.30;4;16
428;1111.67;1225.11;1071.20;1180.24;14.59;14;13
429;1180.24;1227.46;968.91;1115.16;14.59;11;22
430;1115.16;1253.46;1071.39;1112.64;14.44;15;8
431;1112.64;1181.24;1051.83;1141.38;14.73;14;16
432;1141.38;1341.31;1057.33;1183.77;14.88;24;6
433;1183.77;1487.10;1110.70;1153.52;14.73;10;12
434;1153.52;1306.81;1149.02;1206.86;14.73;30;8
435;1206.86;1315.26;1206.86;1258.44;14.73;31;11
436;1258.44;1441.90;1197.06;1323.82;14.29;14;5
437;1323.82;1562.65;1228.14;1260.34;14.00;9;12
438;1260.34;1371.27;1179.96;1291.36;13.58;5;21
439;1291.36;1469.60;1113.82;1263.56;13.04;6;18
440;1263.56;1285.69;1129.90;1260.75;12.65;11;15
441;1260.75;1350.89;1191.05;1295.20;12.52;8;7
442;1295.20;1380.73;1254.16;1296.56;12.65;22;10
443;1296.56;1437.92;1160.03;1317.74;12.52;20;10
444;1317.74;1413.62;1252.22;1265.10;12.90;12;11
445;1265.10;1346.10;1166.22;1346.10;13.41;9;13
446;1346.10;1367.63;1265.50;1337.58;13.28;8;15
447;1337.58;1357.53;1064.07;1345.63;13.28;6;18
448;1345.63;1349.72;1075.31;1349.72;12.75;6;24
449;1349.72;1455.28;1220.13;1450.02;12.24;8;5
450;1450.02;1627.78;1389.30;1412.75;12.12;22;11
451;1412.75;1471.57;1342.60;1431.64;11.75;16;9
452;1431.64;1609.93;1407.99;1412.74;11.52;14;13
453;1412.74;1568.83;1384.03;1454.54;11.29;14;8
454;1454.54;1651.90;1401.51;1467.94;11.40;18;6
455;1467.94;1607.76;1315.47;1492.71;11.86;10;10
456;1492.71;1527.98;1419.08;1496.00;11.74;17;16
457;1496.00;1591.98;1445.01;1515.37;11.62;18;5
458;1515.37;1617.11;1470.41;1502.19;12.08;16;7
459;1502.19;1541.77;1406.11;1511.55;12.33;15;16
460;1511.55;1596.46;1464.07;1594.54;12.33;12;4
461;1594.54;1729.93;1510.13;1599.15;12.57;13;7
462;1599.15;1749.98;1559.45;1626.18;12.95;25;13
463;1626.18;1709.83;1476.52;1596.42;13.08;9;7
464;1596.42;1677.88;1444.08;1586.23;12.56;9;16
465;1586.23;1678.23;1452.70;1588.22;12.81;9;12
466;1588.22;1654.49;1520.43;1654.49;12.30;10;9
467;1654.49;1755.22;1607.14;1687.92;12.54;16;7
468;1687.92;1771.69;1629.81;1749.07;12.54;16;5
469;1749.07;1804.95;1567.41;1715.01;12.79;12;10
470;1715.01;1786.14;1530.02;1760.15;12.92;12;9
471;1760.15;1976.12;1720.76;1822.83;12.92;14;1
472;1822.83;1932.05;1706.61;1781.98;13.05;7;6
473;1781.98;1889.42;1674.39;1820.56;13.05;6;10
474;1820.56;1866.23;1723.01;1769.03;12.53;7;16
475;1769.03;1876.23;1703.64;1725.57;13.03;13;7
476;1725.57;1728.32;1571.11;1650.16;13.42;8;15
477;1650.16;1775.38;1578.36;1637.69;13.55;16;5
478;1637.69;1664.93;1441.66;1580.13;13.01;10;22
479;1580.13;1629.26;1400.23;1564.21;13.01;4;18
480;1564.21;1657.28;1447.06;1593.80;12.62;30;6
481;1593.80;1681.95;1584.49;1613.11;13.13;28;6
482;1613.11;1672.05;1511.28;1622.24;13.26;11;12
483;1622.24;1643.16;1482.76;1592.00;12.86;12;22
